iter	Passed	Remaining
0	151	150889
1	151	75742
2	152	50651
3	153	38106
4	153	30580
5	154	25558
6	155	22002
7	155	19317
8	156	17227
9	157	15556
10	157	14187
11	158	13045
12	159	12076
13	159	11262
14	160	10542
15	161	9913
16	161	9363
17	162	8879
18	163	8443
19	164	8049
20	165	7693
21	165	7368
22	166	7066
23	167	6797
24	167	6545
25	168	6311
26	169	6098
27	169	5899
28	170	5713
29	171	5542
30	172	5379
31	172	5224
32	173	5088
33	174	4954
34	174	4824
35	175	4701
36	176	4589
37	177	4483
38	177	4382
39	178	4285
40	179	4191
41	179	4105
42	180	4023
43	181	3942
44	182	3863
45	182	3788
46	183	3716
47	183	3646
48	184	3580
49	185	3516
50	185	3454
51	186	3396
52	186	3339
53	187	3285
54	188	3231
55	188	3180
56	189	3131
57	189	3084
58	190	3038
59	191	2993
60	191	2953
61	192	2911
62	193	2871
63	193	2832
64	194	2794
65	194	2757
66	195	2721
67	195	2683
68	196	2650
69	197	2617
70	197	2586
71	198	2557
72	199	2528
73	199	2501
74	200	2475
75	201	2448
76	202	2422
77	202	2395
78	203	2370
79	203	2345
80	204	2320
81	205	2296
82	205	2273
83	206	2250
84	206	2226
85	207	2204
86	207	2181
87	208	2160
88	209	2140
89	209	2120
90	210	2101
91	210	2082
92	211	2063
93	212	2044
94	212	2026
95	213	2008
96	213	1991
97	214	1974
98	215	1958
99	215	1941
100	216	1925
101	216	1908
102	217	1894
103	218	1879
104	218	1864
105	219	1850
106	219	1836
107	220	1821
108	221	1808
109	221	1794
110	222	1781
111	223	1768
112	223	1756
113	224	1743
114	225	1732
115	225	1719
116	226	1708
117	227	1697
118	227	1685
119	228	1673
120	228	1662
121	229	1651
122	229	1638
123	230	1628
124	231	1617
125	231	1607
126	232	1597
127	232	1585
128	233	1576
129	234	1566
130	234	1556
131	235	1547
132	236	1538
133	236	1529
134	237	1520
135	237	1511
136	238	1503
137	239	1494
138	239	1485
139	240	1477
140	241	1468
141	241	1461
142	242	1452
143	243	1444
144	243	1436
145	244	1428
146	244	1421
147	245	1413
148	246	1405
149	246	1397
150	247	1390
151	247	1382
152	248	1376
153	249	1369
154	249	1362
155	250	1355
156	251	1348
157	251	1341
158	252	1334
159	252	1327
160	253	1321
161	254	1314
162	254	1308
163	255	1302
164	256	1296
165	256	1290
166	257	1283
167	257	1277
168	258	1271
169	259	1265
170	259	1259
171	260	1254
172	261	1248
173	261	1243
174	262	1237
175	263	1231
176	263	1226
177	264	1220
178	264	1215
179	265	1209
180	265	1203
181	266	1197
182	267	1192
183	267	1187
184	268	1182
185	269	1178
186	269	1173
187	270	1168
188	271	1163
189	271	1158
190	272	1153
191	272	1148
192	273	1143
193	274	1139
194	274	1134
195	275	1129
196	275	1124
197	276	1120
198	277	1115
199	277	1110
200	278	1106
201	278	1101
202	279	1098
203	280	1093
204	280	1089
205	281	1085
206	282	1081
207	282	1076
208	283	1072
209	284	1068
210	284	1064
211	285	1060
212	285	1056
213	286	1052
214	287	1048
215	287	1044
216	288	1040
217	289	1036
218	289	1032
219	290	1028
220	290	1025
221	291	1021
222	292	1018
223	293	1015
224	293	1011
225	294	1007
226	294	1004
227	295	1000
228	296	996
229	296	993
230	297	989
231	298	986
232	298	984
233	299	980
234	300	977
235	300	973
236	301	970
237	302	966
238	302	963
239	303	960
240	303	956
241	304	953
242	305	951
243	305	947
244	306	944
245	307	941
246	307	938
247	308	935
248	308	931
249	309	928
250	310	925
251	310	922
252	311	920
253	312	917
254	312	914
255	313	911
256	314	908
257	314	905
258	315	902
259	315	899
260	316	896
261	317	893
262	318	891
263	318	888
264	319	885
265	319	882
266	320	879
267	320	876
268	321	873
269	322	871
270	322	868
271	323	865
272	324	863
273	324	860
274	325	857
275	325	855
276	326	852
277	327	849
278	327	847
279	328	844
280	329	842
281	329	839
282	330	837
283	331	834
284	331	832
285	332	829
286	332	826
287	333	824
288	334	821
289	334	819
290	335	816
291	335	814
292	336	812
293	337	809
294	337	807
295	338	805
296	339	802
297	339	800
298	340	797
299	340	795
300	341	793
301	342	790
302	342	788
303	343	786
304	344	784
305	344	781
306	345	779
307	345	777
308	346	774
309	347	772
310	347	770
311	348	768
312	349	766
313	349	763
314	350	761
315	350	759
316	351	757
317	352	755
318	352	752
319	353	750
320	353	748
321	354	746
322	355	744
323	355	742
324	356	740
325	357	738
326	357	736
327	358	734
328	359	732
329	359	730
330	360	728
331	360	726
332	361	724
333	362	722
334	363	720
335	363	718
336	364	716
337	365	714
338	365	712
339	366	710
340	366	708
341	367	706
342	368	705
343	368	703
344	369	701
345	370	699
346	370	697
347	371	695
348	371	693
349	372	691
350	372	689
351	373	687
352	374	686
353	375	684
354	375	682
355	376	680
356	377	679
357	377	677
358	378	675
359	378	673
360	379	671
361	379	669
362	380	668
363	381	666
364	381	664
365	382	662
366	383	661
367	384	659
368	384	658
369	385	656
370	386	655
371	387	653
372	387	651
373	388	650
374	389	648
375	389	647
376	390	645
377	391	643
378	391	642
379	392	640
380	393	639
381	394	637
382	395	636
383	395	634
384	396	633
385	396	631
386	397	629
387	398	628
388	398	626
389	399	624
390	400	623
391	400	621
392	401	620
393	402	618
394	402	616
395	403	615
396	403	613
397	404	611
398	405	610
